,name,height,weight
0,alex,1.67,51.24
1,ajay,1.82,61.9
2,alice,1.76,69.4
3,ravi,1.73,64.55
4,joe,1.72,65.44
5,alex,1.67,51.24
6,ajay,1.82,61.9
7,alice,1.76,69.4
8,ravi,1.73,64.55
9,joe,1.72,65.44
10,alex,1.67,51.24
11,ajay,1.82,61.9
12,alice,1.76,69.4
13,ravi,1.73,64.55
14,joe,1.72,65.44
15,jack,1.74,55.92
16,tom,1.77,64.17
17,tracy,1.78,61.88
18,john,1.72,50.96
19,jack,1.74,55.92
20,tom,1.77,64.17
21,tracy,1.78,61.88
22,john,1.72,50.96
23,jack,1.74,55.92
24,tom,1.77,64.17
25,tracy,1.78,61.88
26,john,1.72,50.96
27,simon,1.72,50.96
28,jacob,1.7,54.72
29,cindy,1.69,57.8
30,ivan,1.72,51.76
31,simon,1.72,50.96
32,jacob,1.7,54.72
33,cindy,1.69,57.8
34,ivan,1.72,51.76
35,simon,1.72,50.96
36,jacob,1.7,54.72
37,cindy,1.69,57.8
38,ivan,1.72,51.76
